Id,Titulo,Modelo,Marca,Estrelas,Avaliacoes,Url
#916724, 26.2-cu ft 4-Door 36-in French Door Refrigerator with Exterior Drawer - Fingerprint Resistant Stainless Steel,#WRX986SIHZ,Whirlpool ,4.5,1882,https://www.lowes.com/pd/Whirlpool-26-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000318967
#719466, 17.5-cu ft Counter-depth French Door Refrigerator with Ice Maker (Stainless Steel),#RF18HFENBSR,Samsung ,3.5,534,https://www.lowes.com/pd/Samsung-17-5-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000005992
#970842, 9.8-cu ft Top-Freezer Refrigerator (White),#HA10TG21SW,Haier ,4.5,943,https://www.lowes.com/pd/Haier-9-8-cu-ft-Top-Freezer-Refrigerator-White/1000366385
#828917, 21.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,#LFDS22520S,LG ,4.5,295,https://www.lowes.com/pd/LG-21-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000551617
#735649, 20-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator with Interior Dispense - Stainless Steel,#KRFC300ESS,KitchenAid ,4.5,2594,https://www.lowes.com/pd/KitchenAid-20-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50383140
#1654835, 27.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#RS27T5200SR,Samsung ,4.5,138,https://www.lowes.com/pd/Samsung-27-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1002238294
#852876, Gallery 26.8-cu ft French Door Refrigerator with Dual Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,#LGHB2869TF,Frigidaire ,4.5,1536,https://www.lowes.com/pd/Frigidaire-Gallery-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289717
#623777, 14.3-cu ft Top-Freezer Refrigerator (White),#WRT314TFDW,Whirlpool ,4.5,1425,https://www.lowes.com/pd/Whirlpool-14-3-cu-ft-Top-Freezer-Refrigerator-White/50284165
#1689315, Garage-Ready 21.9-cu ft Top-Freezer Refrigerator (White),#GTS22KGNRWW,GE ,4.5,2785,https://www.lowes.com/pd/GE-Garage-Ready-21-9-cu-ft-Top-Freezer-Refrigerator-White/1001431370
#533479, 25.3-cu ft Side-by-Side Refrigerator with Ice Maker (Stainless Steel),#GSS25LSLSS,GE ,4.5,913,https://www.lowes.com/pd/GE-25-3-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Stainless-Steel/1000225785
#852870, Gallery 25.5-cu ft Side-by-Side Refrigerator with Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,#LGHX2636TF,Frigidaire ,4.5,1103,https://www.lowes.com/pd/Frigidaire-Gallery-25-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289709
#852901, 20.4-cu ft Top-Freezer Refrigerator (White),#FFTR2021TW,Frigidaire ,4.0,4800,https://www.lowes.com/pd/Frigidaire-20-4-cu-ft-Top-Freezer-Refrigerator-White/1000226525
#2515238, 18-cu ft Top-Freezer Refrigerator (White) ENERGY STAR,#MRT18S2AWW,Midea ,4.0,7,https://www.lowes.com/pd/Midea-18-cu-ft-Top-Freezer-Refrigerator-White-ENERGY-STAR/1002957234
#1030903, 26.8-cu ft 3-Door 36-in French Door Refrigerator with Exterior Ice - Water Dispenser and Dual Icemakers - Fingerprint Resistant Stainless Steel,#WRF767SDHZ,Whirlpool ,4.5,1678,https://www.lowes.com/pd/Whirlpool-26-8-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000494367
#852872, Gallery 22-cu ft Counter-depth Side-by-Side Refrigerator with Ice Maker (Smudge-Proof Stainless Steel) ENERGY STAR,#LGHK2336TF,Frigidaire ,4.5,531,https://www.lowes.com/pd/Frigidaire-Gallery-22-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Smudge-Proof-Stainless-Steel-ENERGY-STAR/1000289713
#434627, 221 21.6-cu ft French Door Refrigerator with Ice Maker (Stainless Steel),#RF220NCTASR,Samsung ,4.0,489,https://www.lowes.com/pd/Samsung-221-21-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel/1000200399
#852887, 18-cu ft Top-Freezer Refrigerator (Black),#FFTR1821TB,Frigidaire ,4.5,5664,https://www.lowes.com/pd/Whirlpool-20-6-cu-ft-Counter-depth-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000356423
#1295701, 22.6-cu ft 4-Door Counter-depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF24R7201SR,Samsung ,4.0,561,https://www.lowes.com/pd/Samsung-27-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel/1002238478
#1110030, InstaView Smart Wi-Fi Enabled 26-cu ft French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#LFXS26596S,LG ,4.5,473,https://www.lowes.com/pd/Samsung-19-6-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1003081538
#1295698, 28-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF28R7201SR,Samsung ,4.0,566,https://www.lowes.com/pd/Frigidaire-22-4-cu-ft-Counter-depth-French-Door-Refrigerator-with-Ice-Maker-EasyCare-Stainless-Steel-ENERGY-STAR/1000240811
#623784, 20.5-cu ft Top-Freezer Refrigerator with Optional Ice Maker Kit- White,#WRT311FZDW,Whirlpool ,4.5,5235,https://www.lowes.com/pd/Frigidaire-22-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-White/1000245223
